
show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Red Notice,Rawson Marshall Thurber,Dwayne Johnson; Ryan Reynolds; Gal Gadot,United States,"November 12, 2021",2021,PG-13,118 min,"Action & Adventure","An FBI profiler pursues the world's most wanted art thief."
s2,TV Show,Squid Game,Hwang Dong-hyuk,Lee Jung-jae; Park Hae-soo,South Korea,"September 17, 2021",2021,TV-MA,1 Season,"Thrillers, International TV Shows","Hundreds of players compete in deadly childhood games."
s3,Movie,Extraction,Sam Hargrave,Chris Hemsworth,United States,"April 24, 2020",2020,R,116 min,"Action & Adventure","A mercenary rescues a kidnapped boy."
s4,Movie,The Irishman,Martin Scorsese,Robert De Niro; Al Pacino,United States,"November 27, 2019",2019,R,209 min,"Crime, Drama","A mob hitman recalls his past."
s5,TV Show,Money Heist,Alex Pina,Úrsula Corberó; Álvaro Morte,Spain,"May 2, 2017",2017,TV-MA,5 Seasons,"Crime TV Shows","A criminal mastermind plans the biggest heist."
s6,Movie,The Gray Man,Anthony Russo,Ryan Gosling; Chris Evans,United States,"July 22, 2022",2022,PG-13,129 min,"Action & Adventure","A CIA operative becomes the target."
s7,Movie,RRR,S. S. Rajamouli,Ram Charan; N. T. Rama Rao Jr.,India,"May 20, 2022",2022,TV-14,182 min,"Action & Adventure","Two revolutionaries fight against British rule."
s8,TV Show,Stranger Things,The Duffer Brothers,Millie Bobby Brown; Finn Wolfhard,United States,"July 15, 2016",2016,TV-14,4 Seasons,"Sci-Fi & Fantasy","Children uncover supernatural mysteries."
s9,Movie,3 Idiots,Rajkumar Hirani,Aamir Khan; R. Madhavan; Sharman Joshi,India,"August 1, 2018",2009,PG-13,170 min,"Comedy, Drama","Three engineering students navigate college life."
s10,Movie,The Adam Project,Shawn Levy,Ryan Reynolds; Mark Ruffalo,United States,"March 11, 2022",2022,PG-13,106 min,"Sci-Fi & Fantasy","A time-traveling pilot meets his younger self."
s11,TV Show,Wednesday,Tim Burton,Jenna Ortega,United States,"November 23, 2022",2022,TV-14,1 Season,"Comedy, Mystery","Wednesday Addams investigates mysterious events."
s12,Movie,Jawan,Atlee,Shah Rukh Khan; Nayanthara,India,"November 2, 2023",2023,TV-MA,169 min,"Action & Adventure","A vigilante seeks justice."
s13,Movie,Leo,Lokesh Kanagaraj,Vijay; Trisha Krishnan,India,"November 24, 2023",2023,TV-MA,164 min,"Action & Adventure","A café owner faces his violent past."
s14,TV Show,Dark,Baran bo Odar,Louis Hofmann,Germany,"December 1, 2017",2017,TV-MA,3 Seasons,"Sci-Fi & Fantasy","Families uncover a time travel mystery."
s15,Movie,Dangal,Nitesh Tiwari,Aamir Khan,India,"June 21, 2017",2016,PG,161 min,"Sports, Drama","A wrestler trains his daughters."
s16,Movie,The Platform,Galder Gaztelu-Urrutia,Iván Massagué,Spain,"March 20, 2020",2019,TV-MA,95 min,"Horror, Sci-Fi","Prisoners survive in a vertical prison."
s17,TV Show,The Crown,Peter Morgan,Claire Foy; Olivia Colman,United Kingdom,"November 4, 2016",2016,TV-MA,6 Seasons,"British TV Shows, Drama","The reign of Queen Elizabeth II."
s18,Movie,The Social Network,David Fincher,Jesse Eisenberg,United States,"January 1, 2020",2010,PG-13,120 min,"Drama","The story behind Facebook."
s19,Movie,Kantara,Rishab Shetty,Rishab Shetty,India,"December 9, 2022",2022,TV-14,148 min,"Action & Adventure","A man protects his village's traditions."
s20,TV Show,All of Us Are Dead,Lee Jae-kyoo,Park Ji-hu; Yoon Chan-young,South Korea,"January 28, 2022",2022,TV-MA,1 Season,"Horror, International TV Shows","Students struggle to survive a zombie outbreak."
